income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
Lower middle income,u37,,3.93,3.85,3.88,0.0,0.0,3.41,3.72,0.0,0.0
Lower middle income,u37,6,3.5,3.57,3.64,0.0,0.0,3.41,3.52,0.0,0.0
Lower middle income,U30,,3.02,3.13,3.25,0.0,0.0,3.41,3.26,0.0,0.0
Lower middle income,u37,,4.0,3.88,3.5,0.0,0.0,3.41,3.75,0.0,0.0
Upper middle income,U30,4.2,3.06,3.38,3.38,4.0,0.0,3.41,3.43,3.55,0.0
High income,u37,,2.85,4.0,4.0,4.0,0.0,3.41,3.82,3.74,0.0
Lower middle income,U30,,2.5,3.38,3.25,4.0,0.0,3.41,3.43,3.59,0.0
Upper middle income,U30,4.5,3.2,2.88,3.13,4.0,0.0,3.41,3.13,3.45,0.0
Low income,U30,6,3.5,3.65,3.79,4.0,0.0,3.41,3.65,3.63,0.0
Lower middle income,U30,,3.0,3.3,3.5,3.7,3.2,3.41,3.39,3.49,3.5
Upper middle income,U44,,2.43,3.6,3.5,3.7,3.3,3.41,3.6,3.66,3.5
Upper middle income,U30,,3.18,3.9,3.92,3.8,3.9,3.41,3.79,3.74,3.5
Upper middle income,U25,4.5,3.29,3.67,3.5,3.38,4.0,3.41,3.55,3.64,3.5
Upper middle income,G45,,2.97,3.5,3.58,3.7,3.3,3.41,3.54,3.5,3.5
Lower middle income,u37,,2.5,3.8,3.64,3.71,0.0,3.41,3.69,3.58,0.0
Lower middle income,U30,,3.5,3.6,3.36,3.57,0.0,3.41,3.52,3.55,0.0
Lower middle income,U30,,3.0,3.8,3.71,4.0,0.0,3.41,3.66,3.64,0.0
Upper middle income,U30,5,3.0,3.7,3.63,4.0,0.0,3.41,3.6,3.77,0.0
Lower middle income,U30,5.4,3.39,3.13,3.25,0.0,0.0,3.41,3.27,0.0,0.0
Lower middle income,U30,5,3.24,3.63,3.5,3.71,0.0,3.41,3.53,3.55,0.0
Low income,u37,,3.5,3.4,3.5,3.75,0.0,3.41,3.48,3.62,0.0
Lower middle income,U30,,3.0,3.5,3.43,3.5,0.0,3.41,3.51,3.5,0.0
Lower middle income,U30,,3.0,3.8,3.5,3.71,0.0,3.41,3.69,3.57,0.0
Lower middle income,u37,,3.26,3.2,3.36,3.36,0.0,3.41,3.32,3.44,0.0
Lower middle income,u37,,3.06,3.4,3.21,3.21,0.0,3.41,3.42,3.5,0.0
Lower middle income,U30,6,4.0,3.63,3.63,0.0,0.0,3.41,3.57,0.0,0.0
Lower middle income,u37,5.6,4.0,3.43,3.68,0.0,0.0,3.41,3.45,0.0,0.0
Lower middle income,U30,5.8,3.5,3.71,3.79,0.0,0.0,3.41,3.58,0.0,0.0
Lower middle income,U30,6.9,3.0,3.71,3.8,0.0,0.0,3.41,3.63,0.0,0.0
Lower middle income,u37,,4.0,3.36,3.1,0.0,0.0,3.41,3.37,0.0,0.0
Lower middle income,u37,6.5,3.0,3.13,3.5,0.0,0.0,3.41,3.25,0.0,0.0
Lower middle income,U30,5,3.5,3.89,3.89,0.0,0.0,3.41,3.68,0.0,0.0
Lower middle income,U30,5.4,3.0,3.25,3.38,3.5,0.0,3.41,3.34,3.52,0.0
Lower middle income,U30,5.3,4.0,3.5,3.5,0.0,0.0,3.41,3.5,0.0,0.0
Lower middle income,U30,5.6,3.0,3.38,3.33,0.0,0.0,3.41,3.45,0.0,0.0
Upper middle income,U25,5,3.53,3.25,3.5,0.0,0.0,3.41,3.29,0.0,0.0
Lower middle income,U30,,3.52,2.88,3.5,4.0,0.0,3.41,3.18,3.48,0.0
Upper middle income,U25,5,3.63,3.63,3.5,0.0,0.0,3.41,3.53,0.0,0.0
Lower middle income,u37,5.3,3.5,2.88,2.83,3.5,2.63,3.41,3.19,3.47,3.5
Upper middle income,u37,4.8,3.37,3.38,3.25,3.0,0.0,3.41,3.41,3.53,0.0
Lower middle income,U30,5.4,2.47,2.63,2.68,3.13,0.0,3.41,3.18,3.42,0.0
Upper middle income,U30,4.2,3.6,3.63,3.0,0.0,0.0,3.41,3.62,0.0,0.0
Lower middle income,U30,,3.5,3.0,3.25,3.25,0.0,3.41,3.22,3.44,0.0
Upper middle income,U30,5.6,3.34,3.88,3.62,0.0,0.0,3.41,3.79,0.0,0.0
Upper middle income,U25,4.9,2.81,3.25,3.0,0.0,0.0,3.41,3.28,0.0,0.0
Upper middle income,u37,5.3,2.29,3.0,3.0,4.0,4.0,3.41,3.23,3.46,3.5
Lower middle income,U30,5.6,2.86,3.31,3.38,4.0,0.0,3.41,3.39,3.64,0.0
Upper middle income,U30,4.5,3.03,3.63,3.13,4.0,3.5,3.41,3.58,3.65,3.5
Lower middle income,u37,5.3,2.5,3.0,2.88,3.13,0.0,3.41,3.23,3.43,0.0
Lower middle income,U30,,3.0,3.5,3.5,3.5,0.0,3.41,3.53,3.61,0.0
Lower middle income,U30,7,3.0,3.64,3.5,0.0,0.0,3.41,3.58,0.0,0.0
High income,G45,,2.71,3.7,3.75,3.6,3.8,3.41,3.64,3.59,3.5
Lower middle income,u37,7,3.5,3.5,3.6,0.0,0.0,3.41,3.5,0.0,0.0
Low income,U30,5.8,3.5,3.63,3.87,0.0,0.0,3.41,3.62,0.0,0.0
Upper middle income,U30,4.9,3.27,3.38,3.75,0.0,0.0,3.41,3.39,0.0,0.0
Upper middle income,U30,5.2,3.27,3.57,3.85,0.0,0.0,3.41,3.55,0.0,0.0
Lower middle income,u37,4.5,3.0,3.13,3.38,3.5,3.5,3.41,3.25,3.52,3.5
Upper middle income,U25,4.9,3.71,4.0,3.75,0.0,0.0,3.41,3.79,0.0,0.0
Lower middle income,U30,5.5,3.64,3.42,3.33,0.0,0.0,3.41,3.44,0.0,0.0
Lower middle income,U25,5,3.0,3.0,3.5,3.0,0.0,3.41,3.18,3.53,0.0
Lower middle income,u37,5.2,2.42,3.31,3.5,4.0,0.0,3.41,3.4,3.56,0.0
Lower middle income,U30,,4.0,3.27,2.85,0.0,0.0,3.41,3.33,0.0,0.0
Lower middle income,U44,5.8,2.99,3.19,3.58,3.5,0.0,3.41,3.3,3.56,0.0
Low income,U30,,4.0,4.0,3.85,4.0,0.0,3.41,3.91,3.82,0.0
Low income,U44,5.2,3.5,3.28,3.86,0.0,0.0,3.41,3.45,0.0,0.0
Lower middle income,U25,5.5,3.0,3.43,3.25,0.0,0.0,3.41,3.42,0.0,0.0
Upper middle income,U30,5.8,3.17,3.71,3.79,3.67,0.0,3.41,3.61,3.64,0.0
Upper middle income,u37,,2.5,3.63,3.5,0.0,0.0,3.41,3.59,0.0,0.0
Lower middle income,u37,,3.0,3.17,3.5,3.65,0.0,3.41,3.32,3.42,0.0
Lower middle income,U44,,3.5,3.33,3.44,3.6,0.0,3.41,3.42,3.46,0.0
Lower middle income,u37,,3.0,3.5,3.81,3.5,0.0,3.41,3.51,3.44,0.0
Lower middle income,u37,,3.5,3.67,3.38,3.3,0.0,3.41,3.6,3.5,0.0
Lower middle income,U30,5,3.5,3.57,3.68,0.0,0.0,3.41,3.47,0.0,0.0
Lower middle income,u37,6,3.85,3.46,3.5,3.92,0.0,3.41,3.43,3.47,0.0
Lower middle income,u37,6,4.0,3.38,3.89,0.0,0.0,3.41,3.41,0.0,0.0
Lower middle income,U30,5.3,2.5,2.88,3.38,4.0,0.0,3.41,3.19,3.5,0.0
Lower middle income,u37,5.6,2.63,3.04,3.25,4.0,0.0,3.41,3.25,3.47,0.0
Lower middle income,u37,4.5,2.5,3.5,3.25,3.0,0.0,3.41,3.52,3.58,0.0
